Time, Event, Position, Broken Parts, Spare Parts
278483, Repair, -, 0, 2
279629, Break, 1, 1, 1
279642, Repair, -, 0, 2
280542, Break, 2, 1, 1
280554, Repair, -, 0, 2
281542, Break, 2, 1, 1
281557, Repair, -, 0, 2
281824, Break, 2, 1, 1
281844, Repair, -, 0, 2
283633, Break, 0, 1, 1
283644, Repair, -, 0, 2
284174, Break, 0, 1, 1
284191, Repair, -, 0, 2
284223, Break, 2, 1, 1
284239, Repair, -, 0, 2
288191, Break, 1, 1, 1
288210, Repair, -, 0, 2
290579, Break, 0, 1, 1
290591, Repair, -, 0, 2
294829, Break, 0, 1, 1
294847, Repair, -, 0, 2
297995, Break, 0, 1, 1
298010, Repair, -, 0, 2
298805, Break, 1, 1, 1
298823, Repair, -, 0, 2
298864, Break, 0, 1, 1
298875, Repair, -, 0, 2
300948, Break, 0, 1, 1
300967, Repair, -, 0, 2
302121, Break, 0, 1, 1
302138, Repair, -, 0, 2
303138, Break, 2, 1, 1
303152, Repair, -, 0, 2
303740, Break, 0, 1, 1
303758, Repair, -, 0, 2
305635, Break, 2, 1, 1
305646, Repair, -, 0, 2
309102, Break, 2, 1, 1
309120, Repair, -, 0, 2
311300, Break, 0, 1, 1
311313, Repair, -, 0, 2
311514, Break, 1, 1, 1
311525, Repair, -, 0, 2
312417, Break, 1, 1, 1
312429, Repair, -, 0, 2
313210, Break, 2, 1, 1
313223, Repair, -, 0, 2
313368, Break, 0, 1, 1
313385, Repair, -, 0, 2
314831, Break, 1, 1, 1
314845, Repair, -, 0, 2
316041, Break, 1, 1, 1
316059, Repair, -, 0, 2
316084, Break, 2, 1, 1
316104, Repair, -, 0, 2
316317, Break, 2, 1, 1
316332, Repair, -, 0, 2
318036, Break, 2, 1, 1
318048, Repair, -, 0, 2
318645, Break, 2, 1, 1
318659, Repair, -, 0, 2
320533, Break, 1, 1, 1
320553, Repair, -, 0, 2
323883, Break, 0, 1, 1
323897, Repair, -, 0, 2
324483, Break, 1, 1, 1
324495, Repair, -, 0, 2
327905, Break, 2, 1, 1
327918, Repair, -, 0, 2
331257, Break, 1, 1, 1
331271, Repair, -, 0, 2
333956, Break, 2, 1, 1
333972, Repair, -, 0, 2
335212, Break, 1, 1, 1
335230, Repair, -, 0, 2
336856, Break, 1, 1, 1
336869, Repair, -, 0, 2
343115, Break, 2, 1, 1
343131, Repair, -, 0, 2
344122, Break, 0, 1, 1
344135, Repair, -, 0, 2
344662, Break, 0, 1, 1
344674, Repair, -, 0, 2
345700, Break, 2, 1, 1
345718, Repair, -, 0, 2
345907, Break, 0, 1, 1
345927, Repair, -, 0, 2
346056, Break, 1, 1, 1
346068, Repair, -, 0, 2
347555, Break, 1, 1, 1
347571, Repair, -, 0, 2
348128, Break, 0, 1, 1
348143, Repair, -, 0, 2
348237, Break, 2, 1, 1
348249, Repair, -, 0, 2
348368, Break, 1, 1, 1
348381, Repair, -, 0, 2
349172, Break, 0, 1, 1
349190, Repair, -, 0, 2
349910, Break, 1, 1, 1
349924, Repair, -, 0, 2
351252, Break, 1, 1, 1
351263, Break, 1, 2, 0
351264, Repair, -, 1, 1
351278, Repair, -, 0, 2
351444, Break, 2, 1, 1
351459, Repair, -, 0, 2
352823, Break, 2, 1, 1
352835, Repair, -, 0, 2
355367, Break, 0, 1, 1
355379, Repair, -, 0, 2
355904, Break, 0, 1, 1
355920, Repair, -, 0, 2
360615, Break, 1, 1, 1
360635, Repair, -, 0, 2
360773, Break, 0, 1, 1
360784, Repair, -, 0, 2
361966, Break, 0, 1, 1
361982, Repair, -, 0, 2
362505, Break, 1, 1, 1
362518, Repair, -, 0, 2
362717, Break, 0, 1, 1
362737, Repair, -, 0, 2
365543, Break, 2, 1, 1
365560, Repair, -, 0, 2
365929, Break, 2, 1, 1
365946, Repair, -, 0, 2
367059, Break, 2, 1, 1
367073, Repair, -, 0, 2
370821, Break, 1, 1, 1
370832, Repair, -, 0, 2
372004, Break, 2, 1, 1
372022, Repair, -, 0, 2
373381, Break, 2, 1, 1
373393, Repair, -, 0, 2
375660, Break, 1, 1, 1
375679, Repair, -, 0, 2
376852, Break, 2, 1, 1
376869, Repair, -, 0, 2
378169, Break, 1, 1, 1
378183, Repair, -, 0, 2
378920, Break, 2, 1, 1
378936, Repair, -, 0, 2
379143, Break, 1, 1, 1
379162, Repair, -, 0, 2
380481, Break, 1, 1, 1
380498, Repair, -, 0, 2
382224, Break, 2, 1, 1
382236, Repair, -, 0, 2
383978, Break, 0, 1, 1
383992, Repair, -, 0, 2
388007, Break, 0, 1, 1
388022, Repair, -, 0, 2
388812, Break, 2, 1, 1
388832, Repair, -, 0, 2
389580, Break, 1, 1, 1
389594, Repair, -, 0, 2
389700, Break, 0, 1, 1
389716, Repair, -, 0, 2
390367, Break, 0, 1, 1
390383, Repair, -, 0, 2
390691, Break, 0, 1, 1
390708, Repair, -, 0, 2
392076, Break, 2, 1, 1
392096, Repair, -, 0, 2
392277, Break, 1, 1, 1
392290, Repair, -, 0, 2
394736, Break, 1, 1, 1
394756, Repair, -, 0, 2
396525, Break, 1, 1, 1
396538, Repair, -, 0, 2
396575, Break, 0, 1, 1
396591, Repair, -, 0, 2
396988, Break, 2, 1, 1
397006, Repair, -, 0, 2
397272, Break, 0, 1, 1
397287, Repair, -, 0, 2
397390, Break, 0, 1, 1
397408, Repair, -, 0, 2
398215, Break, 1, 1, 1
398234, Repair, -, 0, 2
398282, Break, 2, 1, 1
398296, Repair, -, 0, 2
401375, Break, 0, 1, 1
401387, Repair, -, 0, 2
405250, Break, 1, 1, 1
405262, Repair, -, 0, 2
406334, Break, 1, 1, 1
406348, Repair, -, 0, 2
408647, Break, 2, 1, 1
408658, Repair, -, 0, 2
409436, Break, 1, 1, 1
409451, Repair, -, 0, 2
410819, Break, 0, 1, 1
410830, Repair, -, 0, 2
411662, Break, 1, 1, 1
411682, Repair, -, 0, 2
413080, Break, 1, 1, 1
413094, Repair, -, 0, 2
413252, Break, 2, 1, 1
413268, Repair, -, 0, 2
413851, Break, 1, 1, 1
413855, Break, 0, 2, 0
413864, Repair, -, 1, 1
413879, Repair, -, 0, 2
414664, Break, 1, 1, 1
414676, Repair, -, 0, 2
417012, Break, 0, 1, 1
417026, Repair, -, 0, 2
417327, Break, 0, 1, 1
417340, Repair, -, 0, 2
418433, Break, 1, 1, 1
418451, Repair, -, 0, 2
418463, Break, 2, 1, 1
418477, Repair, -, 0, 2
420149, Break, 2, 1, 1
420164, Repair, -, 0, 2
420847, Break, 0, 1, 1
420865, Repair, -, 0, 2
421441, Break, 0, 1, 1
421454, Repair, -, 0, 2
421523, Break, 1, 1, 1
421537, Repair, -, 0, 2
422074, Break, 2, 1, 1
422089, Repair, -, 0, 2
422494, Break, 1, 1, 1
422508, Repair, -, 0, 2
423061, Break, 0, 1, 1
423076, Repair, -, 0, 2
423680, Break, 1, 1, 1
423695, Repair, -, 0, 2
424166, Break, 2, 1, 1
424182, Repair, -, 0, 2
424983, Break, 1, 1, 1
425000, Repair, -, 0, 2
427319, Break, 1, 1, 1
427330, Repair, -, 0, 2
429438, Break, 0, 1, 1
429458, Repair, -, 0, 2
430820, Break, 1, 1, 1
430840, Repair, -, 0, 2
431976, Break, 0, 1, 1
431991, Repair, -, 0, 2
435916, Break, 2, 1, 1
435929, Repair, -, 0, 2
436143, Break, 0, 1, 1
436154, Repair, -, 0, 2
437502, Break, 1, 1, 1
437516, Repair, -, 0, 2
442489, Break, 0, 1, 1
442501, Repair, -, 0, 2
442702, Break, 2, 1, 1
442714, Repair, -, 0, 2
443809, Break, 2, 1, 1
443829, Repair, -, 0, 2
443886, Break, 1, 1, 1
443906, Repair, -, 0, 2
445053, Break, 0, 1, 1
445071, Repair, -, 0, 2
445535, Break, 2, 1, 1
445550, Repair, -, 0, 2
447563, Break, 1, 1, 1
447583, Repair, -, 0, 2
448242, Break, 2, 1, 1
448257, Repair, -, 0, 2
451075, Break, 2, 1, 1
451087, Repair, -, 0, 2
451214, Break, 2, 1, 1
451226, Repair, -, 0, 2
452422, Break, 2, 1, 1
452440, Repair, -, 0, 2
453911, Break, 0, 1, 1
453927, Repair, -, 0, 2
455217, Break, 1, 1, 1
455236, Repair, -, 0, 2
456099, Break, 1, 1, 1
456116, Repair, -, 0, 2
456578, Break, 0, 1, 1
456598, Repair, -, 0, 2
458267, Break, 1, 1, 1
458286, Repair, -, 0, 2
460304, Break, 1, 1, 1
460324, Repair, -, 0, 2
463809, Break, 2, 1, 1
463824, Repair, -, 0, 2
465266, Break, 1, 1, 1
465284, Repair, -, 0, 2
465410, Break, 1, 1, 1
465421, Break, 1, 2, 0
465430, Repair, -, 1, 1
465444, Repair, -, 0, 2
466464, Break, 1, 1, 1
466482, Repair, -, 0, 2
467010, Break, 1, 1, 1
467022, Repair, -, 0, 2
467179, Break, 2, 1, 1
467191, Repair, -, 0, 2
467265, Break, 0, 1, 1
467283, Repair, -, 0, 2
468691, Break, 0, 1, 1
468703, Repair, -, 0, 2
469343, Break, 0, 1, 1
469363, Repair, -, 0, 2
469552, Break, 1, 1, 1
469564, Repair, -, 0, 2
473046, Break, 0, 1, 1
473057, Repair, -, 0, 2
473546, Break, 0, 1, 1
473559, Repair, -, 0, 2
474337, Break, 0, 1, 1
474355, Repair, -, 0, 2
474547, Break, 0, 1, 1
474566, Repair, -, 0, 2
474622, Break, 0, 1, 1
474637, Repair, -, 0, 2
477345, Break, 2, 1, 1
477364, Repair, -, 0, 2
477476, Break, 0, 1, 1
477492, Repair, -, 0, 2
477846, Break, 2, 1, 1
477858, Repair, -, 0, 2
477897, Break, 0, 1, 1
477910, Repair, -, 0, 2
477949, Break, 0, 1, 1
477967, Repair, -, 0, 2
479129, Break, 1, 1, 1
479141, Repair, -, 0, 2
479540, Break, 1, 1, 1
479553, Repair, -, 0, 2
480129, Break, 0, 1, 1
480149, Repair, -, 0, 2
481028, Break, 1, 1, 1
481042, Repair, -, 0, 2
482647, Break, 0, 1, 1
482664, Repair, -, 0, 2
482955, Break, 2, 1, 1
482966, Repair, -, 0, 2
483666, Break, 1, 1, 1
483682, Repair, -, 0, 2
487171, Break, 1, 1, 1
487184, Repair, -, 0, 2
487411, Break, 1, 1, 1
487424, Repair, -, 0, 2
489922, Break, 2, 1, 1
489939, Repair, -, 0, 2
490092, Break, 2, 1, 1
490111, Repair, -, 0, 2
490964, Break, 1, 1, 1
490978, Repair, -, 0, 2
492277, Break, 1, 1, 1
492290, Repair, -, 0, 2
492962, Break, 2, 1, 1
492981, Repair, -, 0, 2
496413, Break, 0, 1, 1
496425, Repair, -, 0, 2
498271, Break, 2, 1, 1
498289, Repair, -, 0, 2
498670, Break, 0, 1, 1
498686, Repair, -, 0, 2
506343, Break, 2, 1, 1
506354, Repair, -, 0, 2
508891, Break, 1, 1, 1
508907, Repair, -, 0, 2
509250, Break, 2, 1, 1
509261, Repair, -, 0, 2
509451, Break, 1, 1, 1
509466, Repair, -, 0, 2
510127, Break, 0, 1, 1
510139, Repair, -, 0, 2
511389, Break, 0, 1, 1
511406, Repair, -, 0, 2
512913, Break, 1, 1, 1
512927, Repair, -, 0, 2
514174, Break, 1, 1, 1
514185, Repair, -, 0, 2
515054, Break, 0, 1, 1
515065, Repair, -, 0, 2
518426, Break, 1, 1, 1
518439, Repair, -, 0, 2
521124, Break, 1, 1, 1
521142, Repair, -, 0, 2
523472, Break, 1, 1, 1
523488, Repair, -, 0, 2
525322, Break, 2, 1, 1
525333, Repair, -, 0, 2
526238, Break, 0, 1, 1
526255, Repair, -, 0, 2
526270, Break, 1, 1, 1
526281, Repair, -, 0, 2
526539, Break, 1, 1, 1
526552, Repair, -, 0, 2
527156, Break, 2, 1, 1
527175, Repair, -, 0, 2
528385, Break, 0, 1, 1
528402, Repair, -, 0, 2
530040, Break, 2, 1, 1
530051, Repair, -, 0, 2
530057, Break, 2, 1, 1
530072, Repair, -, 0, 2
531224, Break, 2, 1, 1
531237, Repair, -, 0, 2
532685, Break, 2, 1, 1
532705, Repair, -, 0, 2
534209, Break, 2, 1, 1
534220, Repair, -, 0, 2
534565, Break, 1, 1, 1
534583, Repair, -, 0, 2
535220, Break, 2, 1, 1
535233, Repair, -, 0, 2
537061, Break, 1, 1, 1
537072, Repair, -, 0, 2
537375, Break, 0, 1, 1
537387, Repair, -, 0, 2
538953, Break, 1, 1, 1
538969, Repair, -, 0, 2
539684, Break, 0, 1, 1
539702, Repair, -, 0, 2
540456, Break, 0, 1, 1
540469, Repair, -, 0, 2
541321, Break, 1, 1, 1
541341, Repair, -, 0, 2
547994, Break, 0, 1, 1
548011, Repair, -, 0, 2
549056, Break, 2, 1, 1
549073, Repair, -, 0, 2
549562, Break, 1, 1, 1
549582, Repair, -, 0, 2
549793, Break, 0, 1, 1
549813, Repair, -, 0, 2
551466, Break, 0, 1, 1
551480, Repair, -, 0, 2
551501, Break, 2, 1, 1
551513, Repair, -, 0, 2
554587, Break, 0, 1, 1
554605, Repair, -, 0, 2
558038, Break, 0, 1, 1
558049, Repair, -, 0, 2
558864, Break, 0, 1, 1
558883, Repair, -, 0, 2
558953, Break, 0, 1, 1
558973, Repair, -, 0, 2
560498, Break, 0, 1, 1
560514, Repair, -, 0, 2
560967, Break, 2, 1, 1
560985, Repair, -, 0, 2
564471, Break, 0, 1, 1
564490, Repair, -, 0, 2
569076, Break, 2, 1, 1
569094, Repair, -, 0, 2
570748, Break, 1, 1, 1
570766, Repair, -, 0, 2
571581, Break, 0, 1, 1
571600, Repair, -, 0, 2
571993, Break, 2, 1, 1
572013, Repair, -, 0, 2
572280, Break, 2, 1, 1
572297, Repair, -, 0, 2
573255, Break, 1, 1, 1
573258, Break, 2, 2, 0
573271, Repair, -, 1, 1
573290, Repair, -, 0, 2
573959, Break, 2, 1, 1
573978, Repair, -, 0, 2
574547, Break, 1, 1, 1
574561, Repair, -, 0, 2
575215, Break, 2, 1, 1
575235, Repair, -, 0, 2
575408, Break, 1, 1, 1
575428, Repair, -, 0, 2
575775, Break, 0, 1, 1
575786, Repair, -, 0, 2
577159, Break, 0, 1, 1
577175, Repair, -, 0, 2
580604, Break, 1, 1, 1
580621, Repair, -, 0, 2
581267, Break, 0, 1, 1
581286, Repair, -, 0, 2
581349, Break, 2, 1, 1
581362, Repair, -, 0, 2
586320, Break, 2, 1, 1
586337, Repair, -, 0, 2
586878, Break, 1, 1, 1
586894, Repair, -, 0, 2
587256, Break, 0, 1, 1
587267, Repair, -, 0, 2
589656, Break, 1, 1, 1
589671, Repair, -, 0, 2
590253, Break, 1, 1, 1
590257, Break, 2, 2, 0
590271, Repair, -, 1, 1
590287, Repair, -, 0, 2
590291, Break, 1, 1, 1
590310, Repair, -, 0, 2
592419, Break, 2, 1, 1
592434, Repair, -, 0, 2
593207, Break, 2, 1, 1
593220, Repair, -, 0, 2
594717, Break, 0, 1, 1
594730, Repair, -, 0, 2
594959, Break, 2, 1, 1
594972, Repair, -, 0, 2
596142, Break, 0, 1, 1
596157, Repair, -, 0, 2
598433, Break, 2, 1, 1
598449, Repair, -, 0, 2
598765, Break, 1, 1, 1
598778, Repair, -, 0, 2
602592, Break, 2, 1, 1
602610, Repair, -, 0, 2
604707, Break, 0, 1, 1
604719, Repair, -, 0, 2
606849, Break, 1, 1, 1
606869, Repair, -, 0, 2
607829, Break, 0, 1, 1
607845, Repair, -, 0, 2
607863, Break, 1, 1, 1
607875, Repair, -, 0, 2
608714, Break, 1, 1, 1
608731, Repair, -, 0, 2
609577, Break, 1, 1, 1
609592, Repair, -, 0, 2
610481, Break, 1, 1, 1
610494, Repair, -, 0, 2
610650, Break, 1, 1, 1
610664, Repair, -, 0, 2
613460, Break, 0, 1, 1
613478, Repair, -, 0, 2
613662, Break, 2, 1, 1
613674, Repair, -, 0, 2
615915, Break, 0, 1, 1
615926, Repair, -, 0, 2
