Time, Event, Position, Broken Parts, Spare Parts
224221, Break, 0, 1, 1
224234, Repair, -, 0, 2
225729, Break, 2, 1, 1
225740, Repair, -, 0, 2
226328, Break, 1, 1, 1
226342, Repair, -, 0, 2
226506, Break, 0, 1, 1
226525, Repair, -, 0, 2
226952, Break, 2, 1, 1
226964, Repair, -, 0, 2
226966, Break, 2, 1, 1
226983, Repair, -, 0, 2
227563, Break, 1, 1, 1
227574, Repair, -, 0, 2
227867, Break, 1, 1, 1
227885, Repair, -, 0, 2
228056, Break, 0, 1, 1
228076, Repair, -, 0, 2
233242, Break, 0, 1, 1
233259, Repair, -, 0, 2
235517, Break, 0, 1, 1
235535, Repair, -, 0, 2
235652, Break, 0, 1, 1
235664, Repair, -, 0, 2
236434, Break, 2, 1, 1
236450, Repair, -, 0, 2
237258, Break, 0, 1, 1
237276, Repair, -, 0, 2
237782, Break, 0, 1, 1
237798, Repair, -, 0, 2
238617, Break, 0, 1, 1
238633, Repair, -, 0, 2
239627, Break, 0, 1, 1
239641, Repair, -, 0, 2
240076, Break, 0, 1, 1
240089, Repair, -, 0, 2
243102, Break, 1, 1, 1
243122, Repair, -, 0, 2
247474, Break, 1, 1, 1
247485, Repair, -, 0, 2
250711, Break, 0, 1, 1
250726, Repair, -, 0, 2
252984, Break, 2, 1, 1
253001, Repair, -, 0, 2
253488, Break, 0, 1, 1
253507, Repair, -, 0, 2
254375, Break, 2, 1, 1
254393, Repair, -, 0, 2
256332, Break, 1, 1, 1
256344, Repair, -, 0, 2
257051, Break, 0, 1, 1
257064, Repair, -, 0, 2
258738, Break, 2, 1, 1
258754, Repair, -, 0, 2
259443, Break, 1, 1, 1
259456, Repair, -, 0, 2
261378, Break, 1, 1, 1
261398, Repair, -, 0, 2
263639, Break, 0, 1, 1
263653, Repair, -, 0, 2
264475, Break, 0, 1, 1
264488, Repair, -, 0, 2
264571, Break, 1, 1, 1
264586, Repair, -, 0, 2
266486, Break, 0, 1, 1
266500, Repair, -, 0, 2
268219, Break, 2, 1, 1
268236, Repair, -, 0, 2
268524, Break, 0, 1, 1
268542, Repair, -, 0, 2
268634, Break, 2, 1, 1
268646, Repair, -, 0, 2
270121, Break, 2, 1, 1
270139, Repair, -, 0, 2
271340, Break, 1, 1, 1
271358, Repair, -, 0, 2
271833, Break, 0, 1, 1
271845, Repair, -, 0, 2
272731, Break, 1, 1, 1
272742, Repair, -, 0, 2
276553, Break, 1, 1, 1
276566, Repair, -, 0, 2
278468, Break, 0, 1, 1
278488, Repair, -, 0, 2
278939, Break, 2, 1, 1
278955, Repair, -, 0, 2
279012, Break, 2, 1, 1
279029, Repair, -, 0, 2
281466, Break, 0, 1, 1
281480, Repair, -, 0, 2
283972, Break, 0, 1, 1
283992, Repair, -, 0, 2
284981, Break, 1, 1, 1
284996, Repair, -, 0, 2
286332, Break, 0, 1, 1
286347, Repair, -, 0, 2
287315, Break, 1, 1, 1
287333, Repair, -, 0, 2
290189, Break, 2, 1, 1
290205, Repair, -, 0, 2
290786, Break, 1, 1, 1
290806, Repair, -, 0, 2
290906, Break, 1, 1, 1
290923, Repair, -, 0, 2
292319, Break, 1, 1, 1
292332, Repair, -, 0, 2
293284, Break, 2, 1, 1
293297, Repair, -, 0, 2
293976, Break, 1, 1, 1
293988, Repair, -, 0, 2
295216, Break, 2, 1, 1
295233, Repair, -, 0, 2
297420, Break, 1, 1, 1
297433, Repair, -, 0, 2
297584, Break, 1, 1, 1
297602, Repair, -, 0, 2
298080, Break, 0, 1, 1
298095, Repair, -, 0, 2
298991, Break, 0, 1, 1
299002, Repair, -, 0, 2
299142, Break, 2, 1, 1
299153, Repair, -, 0, 2
300635, Break, 2, 1, 1
300654, Repair, -, 0, 2
300709, Break, 2, 1, 1
300722, Repair, -, 0, 2
304740, Break, 2, 1, 1
304759, Repair, -, 0, 2
305727, Break, 1, 1, 1
305743, Repair, -, 0, 2
307617, Break, 2, 1, 1
307629, Repair, -, 0, 2
308511, Break, 2, 1, 1
308527, Repair, -, 0, 2
309494, Break, 0, 1, 1
309509, Repair, -, 0, 2
309570, Break, 0, 1, 1
309589, Repair, -, 0, 2
309800, Break, 0, 1, 1
309815, Repair, -, 0, 2
310147, Break, 0, 1, 1
310167, Repair, -, 0, 2
310762, Break, 1, 1, 1
310773, Repair, -, 0, 2
311198, Break, 1, 1, 1
311211, Repair, -, 0, 2
312780, Break, 0, 1, 1
312798, Repair, -, 0, 2
315042, Break, 2, 1, 1
315060, Repair, -, 0, 2
316163, Break, 1, 1, 1
316177, Repair, -, 0, 2
317296, Break, 1, 1, 1
317312, Repair, -, 0, 2
317489, Break, 0, 1, 1
317506, Repair, -, 0, 2
317853, Break, 1, 1, 1
317869, Repair, -, 0, 2
318467, Break, 2, 1, 1
318478, Repair, -, 0, 2
319840, Break, 1, 1, 1
319860, Repair, -, 0, 2
320239, Break, 0, 1, 1
320256, Repair, -, 0, 2
321435, Break, 1, 1, 1
321447, Repair, -, 0, 2
323041, Break, 1, 1, 1
323054, Repair, -, 0, 2
326052, Break, 1, 1, 1
326068, Repair, -, 0, 2
326785, Break, 2, 1, 1
326802, Repair, -, 0, 2
327824, Break, 1, 1, 1
327837, Repair, -, 0, 2
329627, Break, 1, 1, 1
329644, Repair, -, 0, 2
330556, Break, 0, 1, 1
330573, Repair, -, 0, 2
331669, Break, 1, 1, 1
331689, Repair, -, 0, 2
332473, Break, 2, 1, 1
332485, Repair, -, 0, 2
335258, Break, 1, 1, 1
335278, Repair, -, 0, 2
336001, Break, 1, 1, 1
336019, Repair, -, 0, 2
337082, Break, 2, 1, 1
337099, Repair, -, 0, 2
337580, Break, 2, 1, 1
337594, Repair, -, 0, 2
340028, Break, 2, 1, 1
340045, Repair, -, 0, 2
340354, Break, 0, 1, 1
340365, Repair, -, 0, 2
343551, Break, 2, 1, 1
343566, Repair, -, 0, 2
346308, Break, 1, 1, 1
346326, Repair, -, 0, 2
346999, Break, 2, 1, 1
347018, Repair, -, 0, 2
347019, Break, 1, 1, 1
347030, Repair, -, 0, 2
348800, Break, 0, 1, 1
348813, Repair, -, 0, 2
352278, Break, 0, 1, 1
352290, Repair, -, 0, 2
353150, Break, 2, 1, 1
353170, Repair, -, 0, 2
354406, Break, 2, 1, 1
354420, Repair, -, 0, 2
355666, Break, 2, 1, 1
355681, Repair, -, 0, 2
356381, Break, 0, 1, 1
356396, Repair, -, 0, 2
356614, Break, 0, 1, 1
356627, Repair, -, 0, 2
358663, Break, 1, 1, 1
358678, Repair, -, 0, 2
361043, Break, 2, 1, 1
361062, Repair, -, 0, 2
361690, Break, 1, 1, 1
361703, Repair, -, 0, 2
362237, Break, 1, 1, 1
362251, Repair, -, 0, 2
363759, Break, 2, 1, 1
363777, Repair, -, 0, 2
365962, Break, 1, 1, 1
365975, Repair, -, 0, 2
366282, Break, 2, 1, 1
366296, Repair, -, 0, 2
369825, Break, 2, 1, 1
369837, Repair, -, 0, 2
369917, Break, 2, 1, 1
369931, Repair, -, 0, 2
371721, Break, 0, 1, 1
371734, Repair, -, 0, 2
372977, Break, 1, 1, 1
372997, Repair, -, 0, 2
374656, Break, 0, 1, 1
374668, Repair, -, 0, 2
376535, Break, 0, 1, 1
376551, Repair, -, 0, 2
377895, Break, 2, 1, 1
377907, Repair, -, 0, 2
381393, Break, 0, 1, 1
381408, Repair, -, 0, 2
381969, Break, 1, 1, 1
381988, Repair, -, 0, 2
382393, Break, 2, 1, 1
382411, Repair, -, 0, 2
383710, Break, 0, 1, 1
383727, Repair, -, 0, 2
385031, Break, 0, 1, 1
385046, Repair, -, 0, 2
385562, Break, 0, 1, 1
385576, Repair, -, 0, 2
385735, Break, 0, 1, 1
385751, Repair, -, 0, 2
385932, Break, 2, 1, 1
385946, Repair, -, 0, 2
389659, Break, 1, 1, 1
389673, Repair, -, 0, 2
393939, Break, 1, 1, 1
393953, Repair, -, 0, 2
394026, Break, 1, 1, 1
394038, Repair, -, 0, 2
396790, Break, 2, 1, 1
396805, Repair, -, 0, 2
398878, Break, 1, 1, 1
398893, Repair, -, 0, 2
398943, Break, 0, 1, 1
398963, Repair, -, 0, 2
399921, Break, 2, 1, 1
399933, Repair, -, 0, 2
399996, Break, 2, 1, 1
400014, Repair, -, 0, 2
400582, Break, 1, 1, 1
400598, Repair, -, 0, 2
402207, Break, 1, 1, 1
402227, Repair, -, 0, 2
403232, Break, 2, 1, 1
403248, Repair, -, 0, 2
404201, Break, 1, 1, 1
404216, Repair, -, 0, 2
404777, Break, 1, 1, 1
404791, Repair, -, 0, 2
406247, Break, 1, 1, 1
406265, Repair, -, 0, 2
408969, Break, 0, 1, 1
408989, Repair, -, 0, 2
409744, Break, 1, 1, 1
409757, Repair, -, 0, 2
412308, Break, 2, 1, 1
412325, Repair, -, 0, 2
415451, Break, 1, 1, 1
415469, Repair, -, 0, 2
418164, Break, 0, 1, 1
418175, Repair, -, 0, 2
418264, Break, 0, 1, 1
418283, Repair, -, 0, 2
420244, Break, 2, 1, 1
420262, Repair, -, 0, 2
420705, Break, 1, 1, 1
420719, Repair, -, 0, 2
421673, Break, 2, 1, 1
421692, Repair, -, 0, 2
424769, Break, 0, 1, 1
424788, Repair, -, 0, 2
425362, Break, 0, 1, 1
425382, Repair, -, 0, 2
427014, Break, 2, 1, 1
427033, Repair, -, 0, 2
428036, Break, 1, 1, 1
428055, Repair, -, 0, 2
428837, Break, 2, 1, 1
428853, Repair, -, 0, 2
429934, Break, 1, 1, 1
429951, Repair, -, 0, 2
430173, Break, 2, 1, 1
430190, Repair, -, 0, 2
431499, Break, 2, 1, 1
431512, Repair, -, 0, 2
431745, Break, 2, 1, 1
431764, Repair, -, 0, 2
432929, Break, 1, 1, 1
432948, Repair, -, 0, 2
434167, Break, 0, 1, 1
434180, Repair, -, 0, 2
436441, Break, 2, 1, 1
436461, Repair, -, 0, 2
437877, Break, 1, 1, 1
437889, Repair, -, 0, 2
439585, Break, 1, 1, 1
439603, Repair, -, 0, 2
440576, Break, 2, 1, 1
440595, Repair, -, 0, 2
445211, Break, 0, 1, 1
445228, Repair, -, 0, 2
446038, Break, 0, 1, 1
446055, Repair, -, 0, 2
446114, Break, 1, 1, 1
446126, Repair, -, 0, 2
446267, Break, 2, 1, 1
446281, Repair, -, 0, 2
446482, Break, 2, 1, 1
446495, Repair, -, 0, 2
453872, Break, 0, 1, 1
453886, Repair, -, 0, 2
456025, Break, 2, 1, 1
456040, Repair, -, 0, 2
457498, Break, 0, 1, 1
457516, Repair, -, 0, 2
458923, Break, 1, 1, 1
458938, Repair, -, 0, 2
459356, Break, 0, 1, 1
459371, Repair, -, 0, 2
460162, Break, 2, 1, 1
460182, Repair, -, 0, 2
460730, Break, 1, 1, 1
460746, Repair, -, 0, 2
464059, Break, 2, 1, 1
464070, Repair, -, 0, 2
466916, Break, 1, 1, 1
466936, Repair, -, 0, 2
467352, Break, 2, 1, 1
467367, Repair, -, 0, 2
468131, Break, 1, 1, 1
468146, Repair, -, 0, 2
468662, Break, 1, 1, 1
468680, Repair, -, 0, 2
468988, Break, 1, 1, 1
469003, Repair, -, 0, 2
473101, Break, 1, 1, 1
473118, Repair, -, 0, 2
473229, Break, 0, 1, 1
473247, Repair, -, 0, 2
475044, Break, 1, 1, 1
475061, Repair, -, 0, 2
475332, Break, 0, 1, 1
475348, Repair, -, 0, 2
475650, Break, 1, 1, 1
475661, Repair, -, 0, 2
475849, Break, 1, 1, 1
475866, Repair, -, 0, 2
475875, Break, 1, 1, 1
475887, Repair, -, 0, 2
476518, Break, 1, 1, 1
476537, Repair, -, 0, 2
477153, Break, 0, 1, 1
477170, Repair, -, 0, 2
477628, Break, 2, 1, 1
477643, Repair, -, 0, 2
479490, Break, 2, 1, 1
479505, Repair, -, 0, 2
479972, Break, 1, 1, 1
479986, Repair, -, 0, 2
481070, Break, 1, 1, 1
481089, Repair, -, 0, 2
481260, Break, 0, 1, 1
481272, Repair, -, 0, 2
482416, Break, 2, 1, 1
482429, Repair, -, 0, 2
484114, Break, 0, 1, 1
484126, Break, 1, 2, 0
484129, Repair, -, 1, 1
484143, Repair, -, 0, 2
484641, Break, 2, 1, 1
484654, Repair, -, 0, 2
485966, Break, 2, 1, 1
485985, Repair, -, 0, 2
486248, Break, 2, 1, 1
486264, Repair, -, 0, 2
487954, Break, 0, 1, 1
487969, Repair, -, 0, 2
490347, Break, 0, 1, 1
490366, Repair, -, 0, 2
490591, Break, 1, 1, 1
490607, Repair, -, 0, 2
491159, Break, 2, 1, 1
491170, Repair, -, 0, 2
492156, Break, 1, 1, 1
492172, Repair, -, 0, 2
492416, Break, 0, 1, 1
492430, Repair, -, 0, 2
494466, Break, 0, 1, 1
494479, Repair, -, 0, 2
495669, Break, 0, 1, 1
495689, Repair, -, 0, 2
495834, Break, 0, 1, 1
495854, Repair, -, 0, 2
496381, Break, 2, 1, 1
496397, Repair, -, 0, 2
496918, Break, 1, 1, 1
496929, Repair, -, 0, 2
497256, Break, 2, 1, 1
497276, Repair, -, 0, 2
497702, Break, 1, 1, 1
497716, Repair, -, 0, 2
499083, Break, 0, 1, 1
499095, Repair, -, 0, 2
501173, Break, 1, 1, 1
501184, Repair, -, 0, 2
501993, Break, 0, 1, 1
502012, Repair, -, 0, 2
502337, Break, 1, 1, 1
502349, Repair, -, 0, 2
505233, Break, 0, 1, 1
505245, Repair, -, 0, 2
505860, Break, 1, 1, 1
505873, Repair, -, 0, 2
507390, Break, 1, 1, 1
507409, Repair, -, 0, 2
509118, Break, 1, 1, 1
509133, Repair, -, 0, 2
511624, Break, 2, 1, 1
511643, Repair, -, 0, 2
511991, Break, 0, 1, 1
512003, Repair, -, 0, 2
512224, Break, 0, 1, 1
512235, Repair, -, 0, 2
513215, Break, 2, 1, 1
513228, Repair, -, 0, 2
513956, Break, 0, 1, 1
513973, Repair, -, 0, 2
516306, Break, 1, 1, 1
516325, Repair, -, 0, 2
518466, Break, 0, 1, 1
518483, Repair, -, 0, 2
523000, Break, 0, 1, 1
523018, Repair, -, 0, 2
524606, Break, 1, 1, 1
524623, Repair, -, 0, 2
525702, Break, 0, 1, 1
525716, Repair, -, 0, 2
528054, Break, 0, 1, 1
528069, Repair, -, 0, 2
528295, Break, 1, 1, 1
528308, Repair, -, 0, 2
529378, Break, 0, 1, 1
529391, Repair, -, 0, 2
529761, Break, 1, 1, 1
529772, Repair, -, 0, 2
531169, Break, 1, 1, 1
531182, Repair, -, 0, 2
532390, Break, 0, 1, 1
532407, Repair, -, 0, 2
533696, Break, 2, 1, 1
533710, Repair, -, 0, 2
534300, Break, 2, 1, 1
534313, Repair, -, 0, 2
534940, Break, 1, 1, 1
534955, Repair, -, 0, 2
536672, Break, 2, 1, 1
536691, Repair, -, 0, 2
536709, Break, 0, 1, 1
536725, Repair, -, 0, 2
538254, Break, 2, 1, 1
538265, Repair, -, 0, 2
540531, Break, 1, 1, 1
540549, Repair, -, 0, 2
540713, Break, 2, 1, 1
540725, Repair, -, 0, 2
541073, Break, 1, 1, 1
541084, Repair, -, 0, 2
541995, Break, 1, 1, 1
542011, Repair, -, 0, 2
546264, Break, 1, 1, 1
546278, Repair, -, 0, 2
547952, Break, 2, 1, 1
547967, Repair, -, 0, 2
548792, Break, 0, 1, 1
548804, Repair, -, 0, 2
558510, Break, 1, 1, 1
558525, Repair, -, 0, 2
558564, Break, 2, 1, 1
558577, Repair, -, 0, 2
563306, Break, 0, 1, 1
563323, Repair, -, 0, 2
563597, Break, 2, 1, 1
563616, Repair, -, 0, 2
564854, Break, 1, 1, 1
564865, Repair, -, 0, 2
566153, Break, 1, 1, 1
566172, Repair, -, 0, 2
566667, Break, 2, 1, 1
566681, Repair, -, 0, 2
567739, Break, 0, 1, 1
567755, Repair, -, 0, 2
568273, Break, 2, 1, 1
568288, Repair, -, 0, 2
569810, Break, 0, 1, 1
569825, Repair, -, 0, 2
570346, Break, 2, 1, 1
570362, Repair, -, 0, 2
572501, Break, 2, 1, 1
572514, Repair, -, 0, 2
573409, Break, 0, 1, 1
573429, Repair, -, 0, 2
573918, Break, 0, 1, 1
573930, Repair, -, 0, 2
574276, Break, 2, 1, 1
574295, Repair, -, 0, 2
574823, Break, 1, 1, 1
574836, Repair, -, 0, 2
575547, Break, 0, 1, 1
575565, Repair, -, 0, 2
576006, Break, 1, 1, 1
576017, Repair, -, 0, 2
577097, Break, 1, 1, 1
577117, Repair, -, 0, 2
578164, Break, 1, 1, 1
578177, Repair, -, 0, 2
579046, Break, 2, 1, 1
579064, Repair, -, 0, 2
580680, Break, 0, 1, 1
580694, Repair, -, 0, 2
582113, Break, 1, 1, 1
582128, Repair, -, 0, 2
582595, Break, 2, 1, 1
582606, Repair, -, 0, 2
583039, Break, 0, 1, 1
583058, Repair, -, 0, 2
583669, Break, 0, 1, 1
583684, Repair, -, 0, 2
583798, Break, 1, 1, 1
583809, Repair, -, 0, 2
584506, Break, 0, 1, 1
584518, Repair, -, 0, 2
584691, Break, 1, 1, 1
584707, Repair, -, 0, 2
584881, Break, 0, 1, 1
584894, Repair, -, 0, 2
590432, Break, 2, 1, 1
590450, Repair, -, 0, 2
592719, Break, 0, 1, 1
592731, Repair, -, 0, 2
592844, Break, 0, 1, 1
592861, Repair, -, 0, 2
593110, Break, 1, 1, 1
593129, Repair, -, 0, 2
593182, Break, 2, 1, 1
593200, Repair, -, 0, 2
594163, Break, 1, 1, 1
594176, Repair, -, 0, 2
595719, Break, 2, 1, 1
595734, Repair, -, 0, 2
597056, Break, 2, 1, 1
597072, Repair, -, 0, 2
